nerd01,nerd02,nerd03,nerd04,nerd05,nerd06,nerd07,nerd08,nerd09,nerd10,nerd11,nerd12,nerd13,nerd14,nerd15,nerd16,nerd17,nerd18,nerd19,nerd20,nerd21,nerd22,nerd23,nerd24,nerd25,nerd26,country,introelapse,testelapse,surveyelapse,pers.ext.1,pers.agr.1,pers.con.1,pers.neu.1,pers.ope.1,pers.ext.2,pers.agr.2,pers.con.2,pers.neu.2,pers.ope.2,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,vocab8,vocab9,vocab10,vocab11,vocab12,vocab13,vocab14,vocab15,vocab16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race_arab,race_asian,race_black,race_white,race_hispanic,race_nativeam,race_nativeau,race_other,nerdy,ASD
5,3,4,5,5,4,5,2,5,5,3,3,3,3,3,3,4,5,3,4,5,4,5,5,3,5,HU,18,157,782,6,4,7,3,7,6,6,2,5,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,2,2,2,2,19,320,480,1,4,1,2,1,2,,0,0,0,1,0,0,0,0,7,1
5,2,4,3,5,1,5,1,4,4,1,4,3,2,2,1,5,5,5,4,2,1,2,5,4,4,AU,676,83,137,6,2,3,3,7,1,7,6,5,7,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1,13,320,568,1,1,2,2,1,3,,0,1,0,0,0,0,0,0,5,2
1,3,3,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,4,3,1,1,GB,3,130,279,7,6,3,5,7,1,7,6,3,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,23,414,736,1,4,1,1,1,2,"Film production, Media",0,0,0,1,0,0,0,0,1,2
5,5,5,5,2,5,5,5,2,5,1,5,5,5,2,5,5,4,4,1,5,3,5,5,1,5,US,5,70,119,1,5,1,6,5,7,7,7,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,24,1280,960,1,1,1,2,1,5,,0,0,0,1,0,0,0,0,5,2
2,4,5,4,3,1,5,4,3,5,1,1,2,2,1,2,3,4,1,3,1,1,5,4,2,2,BR,14,157,212,2,5,5,5,6,7,6,6,7,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,2,16,1366,768,1,1,1,2,1,2,,0,0,0,0,0,0,0,1,2,2
4,4,5,5,4,3,5,5,2,4,4,5,5,3,4,3,5,2,4,2,2,2,4,5,5,3,CL,67,103,188,5,2,6,5,7,3,5,6,3,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,24,1366,768,1,12,4,2,1,2,,0,0,0,0,1,0,0,0,5,2
5,5,5,5,5,3,4,5,3,4,5,4,5,3,5,5,5,1,2,3,5,3,5,5,4,3,US,2,412,154,7,7,6,7,4,5,6,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2,2,2,1,17,1440,900,1,12,1,2,1,2,,0,0,0,0,0,0,0,1,7,2
5,4,5,5,1,3,1,5,4,3,5,2,5,2,5,5,5,5,5,2,5,1,3,2,3,2,US,1230,65,86,4,6,5,7,5,1,3,6,2,6,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,2,2,1,15,1920,1080,1,1,2,2,1,2,none,0,0,0,1,0,0,0,0,5,2
1,4,2,2,4,4,5,5,5,3,1,5,3,5,4,3,3,5,4,3,1,1,3,5,5,4,RS,532,84,142,6,2,6,2,7,1,7,3,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,2,37,1376,774,1,2,1,2,1,2,biochemistry,0,0,0,1,0,0,0,0,6,2
4,5,4,3,3,4,5,4,4,2,4,2,5,5,5,1,2,5,5,4,1,1,5,4,4,5,US,10,96,112,6,3,7,3,5,5,5,5,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,3,1,1,20,1280,1024,1,4,1,2,1,2,Software Engineering,0,0,0,1,0,0,0,0,6,2
5,4,5,5,5,4,3,5,5,5,3,1,4,5,5,5,5,3,5,4,5,2,5,5,2,5,GB,28,73,139,4,6,1,7,6,2,3,7,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,2,3,1,19,1920,1080,1,2,5,1,1,1,,0,1,0,1,0,0,0,1,7,1
4,2,5,4,5,2,3,5,2,4,5,2,5,4,3,4,5,2,5,4,2,1,4,4,5,3,AR,456,89,282,2,5,4,6,3,7,3,5,5,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,2,21,1440,900,1,2,1,1,1,1,Art,0,0,0,1,1,0,0,0,5,2
1,5,3,1,5,5,5,2,4,4,3,5,5,5,4,2,1,5,1,4,3,3,5,4,5,4,US,73,1834,583,6,2,7,6,5,5,7,6,6,5,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4,2,1,1,66,414,736,1,6,1,1,2,4,"Psychology, social work",0,0,0,1,0,0,0,0,1,2
4,4,3,4,5,4,5,4,4,4,4,4,4,5,2,2,4,4,5,4,1,4,4,4,3,5,US,506,60,106,6,1,2,1,7,5,5,6,3,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,2,2,1,18,1366,768,3,12,4,2,1,2,,0,0,0,1,0,0,0,0,4,2
